Matrix Size,GFLOPS,Check
100,1.522070e+00,-9.425822e+15
200,1.653747e+00,-2.268807e+16
300,1.629402e+00,-3.466452e+16
400,1.754170e+00,-2.834136e+16
500,1.774484e+00,-5.123278e+16
600,1.731102e+00,-1.477922e+16
700,1.731943e+00,-7.087311e+16
800,1.667994e+00,-1.013360e+17
900,1.588251e+00,-6.538124e+16
1000,1.523911e+00,-1.464151e+17
1100,1.499826e+00,-1.448164e+17
1200,1.479467e+00,-1.561156e+17
1300,1.455914e+00,-1.688694e+17
1400,1.444238e+00,-2.015822e+17
1500,1.417612e+00,-5.649323e+16
1600,1.429163e+00,-1.351288e+17
1700,1.409961e+00,-7.959103e+16
1800,1.416061e+00,-2.244352e+17
1900,1.405231e+00,-2.197374e+17
2000,1.387345e+00,-2.440045e+17
2100,1.399883e+00,-1.712024e+17
2200,1.394266e+00,-3.195377e+17
2300,1.391044e+00,-1.692846e+17
2400,1.394394e+00,-3.215055e+17
2500,1.375834e+00,-3.380465e+17
